"scenario","year","variable","value","units","parameter_value"
"Ref_50",1993,"Tgav",0.548071532301208,"degC","ECS_1.5"
"Ref_50",1994,"Tgav",0.602165743449553,"degC","ECS_1.5"
"Ref_50",1995,"Tgav",0.655306255497302,"degC","ECS_1.5"
"Ref_50",1996,"Tgav",0.696957324174925,"degC","ECS_1.5"
"Ref_50",1997,"Tgav",0.732455658789233,"degC","ECS_1.5"
"Ref_50",1998,"Tgav",0.76122088694065,"degC","ECS_1.5"
"Ref_50",1999,"Tgav",0.784487203533534,"degC","ECS_1.5"
"Ref_50",2000,"Tgav",0.804229631449836,"degC","ECS_1.5"
"Ref_50",2001,"Tgav",0.822105466452813,"degC","ECS_1.5"
"Ref_50",2002,"Tgav",0.839300783229017,"degC","ECS_1.5"
"Ref_50",2003,"Tgav",0.854970252465051,"degC","ECS_1.5"
"Ref_50",2004,"Tgav",0.870657845723364,"degC","ECS_1.5"
"Ref_50",2005,"Tgav",0.8826168408432,"degC","ECS_1.5"
"Ref_50",2006,"Tgav",0.885311829988187,"degC","ECS_1.5"
"Ref_50",2007,"Tgav",0.885829251647409,"degC","ECS_1.5"
"Ref_50",2008,"Tgav",0.890734813583682,"degC","ECS_1.5"
"Ref_50",2009,"Tgav",0.898525838837657,"degC","ECS_1.5"
"Ref_50",2010,"Tgav",0.908019156588623,"degC","ECS_1.5"
"Ref_50",2011,"Tgav",0.918258580648333,"degC","ECS_1.5"
"Ref_50",2012,"Tgav",0.928521611247153,"degC","ECS_1.5"
"Ref_50",2013,"Tgav",0.938416102858361,"degC","ECS_1.5"
"Ref_50",2014,"Tgav",0.948162327360278,"degC","ECS_1.5"
"Ref_50",2015,"Tgav",0.957942332576017,"degC","ECS_1.5"
"Ref_50",2016,"Tgav",0.967922808855984,"degC","ECS_1.5"
"Ref_50",2017,"Tgav",0.978248755931886,"degC","ECS_1.5"
"Ref_50",2018,"Tgav",0.989000275225169,"degC","ECS_1.5"
"Ref_50",2019,"Tgav",1.00015715830232,"degC","ECS_1.5"
"Ref_50",2020,"Tgav",1.01170681481579,"degC","ECS_1.5"
"Ref_50",2021,"Tgav",1.023802689871,"degC","ECS_1.5"
"Ref_50",2022,"Tgav",1.03639159220032,"degC","ECS_1.5"
"Ref_50",2023,"Tgav",1.04943120202203,"degC","ECS_1.5"
"Ref_50",2024,"Tgav",1.06290957573852,"degC","ECS_1.5"
"Ref_50",2025,"Tgav",1.07681497116381,"degC","ECS_1.5"
"Ref_50",2026,"Tgav",1.09114623948207,"degC","ECS_1.5"
"Ref_50",2027,"Tgav",1.10586997466091,"degC","ECS_1.5"
"Ref_50",2028,"Tgav",1.12091030797022,"degC","ECS_1.5"
"Ref_50",2029,"Tgav",1.1362036998321,"degC","ECS_1.5"
"Ref_50",2030,"Tgav",1.15170733524795,"degC","ECS_1.5"
"Ref_50",2031,"Tgav",1.16740318696894,"degC","ECS_1.5"
"Ref_50",2032,"Tgav",1.18329068451385,"degC","ECS_1.5"
"Ref_50",2033,"Tgav",1.19936372566109,"degC","ECS_1.5"
"Ref_50",2034,"Tgav",1.21556716741657,"degC","ECS_1.5"
"Ref_50",2035,"Tgav",1.23184493737424,"degC","ECS_1.5"
"Ref_50",2036,"Tgav",1.24821377934209,"degC","ECS_1.5"
"Ref_50",2037,"Tgav",1.26461020640196,"degC","ECS_1.5"
"Ref_50",2038,"Tgav",1.28099373929644,"degC","ECS_1.5"
"Ref_50",2039,"Tgav",1.29735521158484,"degC","ECS_1.5"
"Ref_50",2040,"Tgav",1.31368933826156,"degC","ECS_1.5"
"Ref_50",2041,"Tgav",1.33001436685376,"degC","ECS_1.5"
"Ref_50",2042,"Tgav",1.34628716836274,"degC","ECS_1.5"
"Ref_50",2043,"Tgav",1.36248020117243,"degC","ECS_1.5"
"Ref_50",2044,"Tgav",1.37861058236416,"degC","ECS_1.5"
"Ref_50",2045,"Tgav",1.39468914484675,"degC","ECS_1.5"
"Ref_50",2046,"Tgav",1.41071480032022,"degC","ECS_1.5"
"Ref_50",2047,"Tgav",1.42667653206198,"degC","ECS_1.5"
"Ref_50",2048,"Tgav",1.44256806675585,"degC","ECS_1.5"
"Ref_50",2049,"Tgav",1.45841072271369,"degC","ECS_1.5"
"Ref_50",2050,"Tgav",1.47421802988031,"degC","ECS_1.5"
"Ref_50",2051,"Tgav",1.49001711974274,"degC","ECS_1.5"
"Ref_50",2052,"Tgav",1.50572837169427,"degC","ECS_1.5"
"Ref_50",2053,"Tgav",1.52130298491606,"degC","ECS_1.5"
"Ref_50",2054,"Tgav",1.53675877478435,"degC","ECS_1.5"
"Ref_50",2055,"Tgav",1.55210946250372,"degC","ECS_1.5"
"Ref_50",2056,"Tgav",1.56732487697479,"degC","ECS_1.5"
"Ref_50",2057,"Tgav",1.58242108356318,"degC","ECS_1.5"
"Ref_50",2058,"Tgav",1.59739457575532,"degC","ECS_1.5"
"Ref_50",2059,"Tgav",1.61225137420257,"degC","ECS_1.5"
"Ref_50",2060,"Tgav",1.62699972909836,"degC","ECS_1.5"
"Ref_50",2061,"Tgav",1.64167464716943,"degC","ECS_1.5"
"Ref_50",2062,"Tgav",1.65626924404797,"degC","ECS_1.5"
"Ref_50",2063,"Tgav",1.67077929123507,"degC","ECS_1.5"
"Ref_50",2064,"Tgav",1.68521520802098,"degC","ECS_1.5"
"Ref_50",2065,"Tgav",1.69958491486131,"degC","ECS_1.5"
"Ref_50",2066,"Tgav",1.71389300595295,"degC","ECS_1.5"
"Ref_50",2067,"Tgav",1.72814409793767,"degC","ECS_1.5"
"Ref_50",2068,"Tgav",1.74234191780478,"degC","ECS_1.5"
"Ref_50",2069,"Tgav",1.75648810415477,"degC","ECS_1.5"
"Ref_50",2070,"Tgav",1.77058445505938,"degC","ECS_1.5"
"Ref_50",2071,"Tgav",1.7846286768977,"degC","ECS_1.5"
"Ref_50",2072,"Tgav",1.79861890333519,"degC","ECS_1.5"
"Ref_50",2073,"Tgav",1.81255470670347,"degC","ECS_1.5"
"Ref_50",2074,"Tgav",1.82643512306218,"degC","ECS_1.5"
"Ref_50",2075,"Tgav",1.84026049764969,"degC","ECS_1.5"
"Ref_50",2076,"Tgav",1.85404657732106,"degC","ECS_1.5"
"Ref_50",2077,"Tgav",1.86778810415587,"degC","ECS_1.5"
"Ref_50",2078,"Tgav",1.88149536368472,"degC","ECS_1.5"
"Ref_50",2079,"Tgav",1.89516421229012,"degC","ECS_1.5"
"Ref_50",2080,"Tgav",1.90879010849135,"degC","ECS_1.5"
"Ref_50",2081,"Tgav",1.92235569015536,"degC","ECS_1.5"
"Ref_50",2082,"Tgav",1.93584457155637,"degC","ECS_1.5"
"Ref_50",2083,"Tgav",1.94924830618677,"degC","ECS_1.5"
"Ref_50",2084,"Tgav",1.96256517192683,"degC","ECS_1.5"
"Ref_50",2085,"Tgav",1.97579531021115,"degC","ECS_1.5"
"Ref_50",2086,"Tgav",1.98895331560416,"degC","ECS_1.5"
"Ref_50",2087,"Tgav",2.00204100520251,"degC","ECS_1.5"
"Ref_50",2088,"Tgav",2.01506045519525,"degC","ECS_1.5"
