;SSP126 emissions
 ;https://www.rcmip.org/
 "Date","BC_emissions","C2F6_emissions","CCl4_emissions","CF4_emissions","CFC11_emissions","CFC113_emissions","CFC114_emissions","CFC115_emissions","CFC12_emissions","CH3Br_emissions","CH3CCl3_emissions","CH3Cl_emissions","CH4_emissions","CO_emissions","ffi_emissions","halon1211_emissions","halon1301_emissions","halon2402_emissions","HCFC141b_emissions","HCFC142b_emissions","HCFC22_emissions","HFC125_emissions","HFC134a_emissions","HFC143a_emissions","HFC227ea_emissions","HFC23_emissions","HFC245fa_emissions","HFC32_emissions","HFC4310_emissions","luc_emissions","N2O_emissions","NOX_emissions","OC_emissions","SF6_emissions","SO2_emissions","NMVOC_emissions"
"1775",2.14899659687508,0,0.024856862,0.010071225,0,0,0,0,0,105.05246,0,4273.8905,22.2009632905598,355.047172855584,0.131736568177341,0.0077232726,0,0,0,0,0,0,0,0,1.7452255e-06,0,0,7.0864778e-05,0,0.127965509009531,0.0437093683764751,4.09554267078679,15.5891357036036,0,1247.68207433821,60.5408304641863
"1776",2.11214313151778,0,0.024856862,0.010071225,0,0,0,0,0,105.03944,0,4273.2061,22.1419421252091,348.898552512349,0.134478894456001,0.0077232726,0,0,0,0,0,0,0,0,1.7810977e-06,0,0,7.490574e-05,0,0.130319705810551,0.0445351372733657,3.94855504179141,15.3700770159586,0,1232.37354827628,59.3811447968516
"1777",2.17024478362092,0,0.024856862,0.010071225,0,0,0,0,0,105.05273,0,4273.9048,22.5687100598088,357.54536101292,0.136877514110063,0.0077232726,0,0,0,0,0,0,0,0,1.8172253e-06,0,0,7.8976112e-05,0,0.13271721305218,0.0453765068136972,4.11632140041078,15.6734575297917,0,1259.69298946659,60.893490070839
"1778",2.19800140223097,0,0.024856862,0.010071225,0,0,0,0,0,105.04465,0,4273.48,22.8560809295712,362.755413463088,0.139320240992099,0.0077232726,0,0,0,0,0,0,0,0,1.8531337e-06,0,0,8.3021224e-05,0,0.135158827521782,0.0462337717289336,4.20318015655146,15.8994562476704,0,1279.2838436295,61.7834869459774
"1779",2.15961577743864,0,0.024856862,0.010071225,0,0,0,0,0,105.03691,0,4273.0734,22.8206356943707,355.926171518125,0.141807886548066,0.0077232726,0,0,0,0,0,0,0,0,1.889034e-06,0,0,8.7065424e-05,0,0.137645360665316,0.047107232318683,4.04070928875801,15.6274578629257,0,1250.87928020983,60.500814881249
"1780",2.18926758767753,0,0.024856862,0.010071225,0,0,0,0,0,104.98817,0,4270.511,23.2461666537855,361.614042160722,0.144342285009131,0.0077232726,0,0,0,0,0,0,0,0,1.9244033e-06,0,0,9.1048394e-05,0,0.140177638857008,0.0479971945558931,4.04646125386331,16.0183808005612,0,1271.81874447102,61.6185956601449
"1781",2.18944119992145,0,0.024856862,0.010071225,0,0,0,0,0,105.04236,0,4273.3596,23.249655483904,360.090053862895,0.14741309504361,0.0077232726,0,0,0,0,0,0,0,0,1.961081e-06,0,0,9.5182182e-05,0,0.142756503673988,0.0489039701940328,4.09828236704864,15.8069522652824,0,1274.55088878199,61.1933064726229
"1782",2.16052270116026,0,0.024856862,0.010071225,0,0,0,0,0,105.03125,0,4272.7759,23.3417581189144,356.046554622282,0.150040522433012,0.0077232726,0,0,0,0,0,0,0,0,1.9969148e-06,0,0,9.9218691e-05,0,0.145382812175985,0.0498278768762998,3.96565033478053,15.7128208268288,0,1258.10403581499,60.4857214530589
"1783",2.15072558974323,0,0.024856862,0.010071225,0,0,0,0,0,105.0436,0,4273.4248,23.3799167872665,354.286924253673,0.152717274191528,0.0077232726,0,0,0,0,0,0,0,0,2.0330816e-06,0,0,0.00010329359,0,0.148057437190156,0.0507692382468907,3.96031936255965,15.6072604721391,0,1255.74988927705,60.1017127237332
"1784",2.14054221244343,0,0.024856862,0.010071225,0,0,0,0,0,105.05531,0,4274.0405,23.2940423024021,350.56949626404,0.155442223489941,0.0077232726,0,0,0,0,0,0,0,0,2.0692567e-06,0,0,0.00010736946,0,0.150781267601164,0.0517283840643735,4.00905291862319,15.2281412556845,0,1238.19118561526,59.2122598932431
"1785",2.16583969126229,0,0.024856862,0.010071225,0,0,0,0,0,105.02817,0,4272.6136,23.8021055372587,356.805125351722,0.158219375665533,0.0077232726,0,0,0,0,0,0,0,0,2.1048124e-06,0,0,0.0001113739,0,0.15355520864659,0.0527056503172018,3.99472082296087,15.7327114797729,0,1263.60841659525,60.4944793625465
"1786",2.15868348486803,0,0.024856862,0.010071225,0,0,0,0,0,105.02684,0,4272.5442,23.8319949982207,354.205877295797,0.161672355141207,0.0077232726,0,0,0,0,0,0,0,0,2.14077e-06,0,0,0.00011542471,0,0.15638018221778,0.0537013793414116,3.99959920185159,15.467157122377,0,1260.95239133635,59.9146824070755
"1787",2.18517929356942,0,0.024856862,0.010071225,0,0,0,0,0,105.03415,0,4272.9283,24.1765281796721,358.793368252137,0.164551426833996,0.0077232726,0,0,0,0,0,0,0,0,2.1768803e-06,0,0,0.00011949308,0,0.159257127166223,0.0547159199405415,4.06105349604552,15.7103314551862,0,1278.33718703303,60.7533570765427
"1788",2.25522348370701,0,0.024856862,0.010071225,0,0,0,0,0,104.9922,0,4270.7227,24.8559289242603,371.357092349607,0.167482418170754,0.0077232726,0,0,0,0,0,0,0,0,2.2120831e-06,0,0,0.00012345689,0,0.162186999615576,0.0557496275078184,4.22141241927087,16.343354337191,0,1322.98192240196,63.1243304667486
